Purchase date,Purchase time,order type,purchase type,order ID,brand name,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
10/5/2021,10/5/2021 14:15,배달,CREDIT,0GVWR0,,다이어트랩,PAY,"수제 디톡스 파인애플 에이드 (ICE), 연어 스테이크 KIT","29,700","23,700","29,700",0,0,"3,555",711,"6,000","1,000","5,000","2,727","3,000","6,282","3,984",398,"4,382",0,0,0,"19,318"
10/5/2021,10/5/2021 15:57,배달,CREDIT,11RTG0,,다이어트랩,PAY,"핸드드립 아메리카노, GO단백 닭가슴살 스테이크 KIT","20,500","17,500","20,500",0,0,"2,625",525,"6,000","1,000","5,000","2,727","3,000","5,352","3,798",380,"4,178",0,0,0,"13,322"
10/5/2021,10/5/2021 16:46,배달,CHECK,0C9C00,,다이어트랩,PAY,"미니양배추 50gx2, 컬리플라워 50gx2, REAL VEGETARIAN KIT (채식), 벌크업 소고기 스테이크 KIT, 홀그린빈 50g, 애기당근 50gx2, OP CHOCO (ICE) 초코 프로틴","43,200","37,200","43,200",0,0,"5,580","1,116","6,000","1,000","5,000","2,727","3,000","8,307","4,389",439,"4,828",0,0,0,"32,372"
10/5/2021,10/5/2021 16:58,배달,CREDIT,19FBR0,,다이어트랩,PAY,단호박 (120g)x16,"51,000","48,000","51,000",0,0,"7,200","1,440","6,000","1,000","5,000","2,727","3,000","9,927","4,713",471,"5,184",0,0,0,"42,816"
10/5/2021,10/5/2021 17:06,배달,BANK,2KH4R0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 미니양배추 50g, 브로콜리 50g, 수제 디톡스 파인애플 에이드 (ICE)","20,500","17,500","20,500",0,0,"2,625",525,"6,000","1,000","5,000","2,727","3,000","5,352","3,798",380,"4,178",0,0,0,"13,322"
10/5/2021,10/5/2021 17:20,배달,BANK,078M80,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, 벌크업 소고기 스테이크 KIT","23,000","20,000","23,000",0,0,"3,000",600,"6,000","1,000","5,000","2,727","3,000","5,727","3,873",387,"4,260",0,0,0,"15,740"
10/5/2021,10/5/2021 18:07,배달,CREDIT,1M23G0,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, OP CHOCO (ICE) 초코 프로틴","32,900","29,900","29,900","3,000",0,"4,485",897,"6,000","1,000","5,000","2,727","3,000","7,212","4,170",417,"4,587",0,0,0,"25,313"
10/5/2021,10/5/2021 18:17,배달,BANK,0UUDR0,,다이어트랩,PAY,"OP VANI'BANA (ICE) 바닐라바나나 프로틴, 닭가슴살 믹스 샐러드, OP VANI'BLUE (ICE) 바닐라  블루베리 프로틴","24,000","21,000","24,000",0,0,"3,150",630,"6,000","1,000","5,000","2,727","3,000","5,877","3,903",390,"4,293",0,0,0,"16,707"
10/5/2021,10/5/2021 20:07,배달,CREDIT,1N3T80,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"33,400","30,400","33,400",0,0,"4,560",912,"6,000","1,000","5,000","2,727","3,000","7,287","4,185",418,"4,603",0,0,0,"25,797"
10/5/2021,10/5/2021 20:10,배달,CHECK,1W0200,,다이어트랩,PAY,벌크업 소고기 스테이크 KITx2,"21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
10/5/2021,10/5/2021 22:12,배달,BANK,1JRNR0,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KITx2, 홀그린빈 50gx3","24,600","21,600","24,600",0,0,"3,240",648,"6,000","1,000","5,000","2,727","3,000","5,967","3,921",392,"4,313",0,0,0,"17,287"
10/5/2021,10/5/2021 22:18,배달,CREDIT,04ECR0,,다이어트랩,PAY,"OP CHOCO (ICE) 초코 프로틴, GO단백 닭가슴살 KIT, 탄수화물 에너지 KIT","23,500","20,500","23,500",0,0,"3,075",615,"6,000","1,000","5,000","2,727","3,000","5,802","3,888",389,"4,277",0,0,0,"16,223"
10/5/2021,10/5/2021 22:36,배달,CREDIT,0V5J00,,다이어트랩,PAY,"OP VANI'BANA (ICE) 바닐라바나나 프로틴, 연어 스테이크 KIT","24,000","21,000","24,000",0,0,"3,150",630,"6,000","1,000","5,000","2,727","3,000","5,877","3,903",390,"4,293",0,0,0,"16,707"
10/5/2021,10/5/2021 23:27,배달,CHECK,1CA300,,다이어트랩,PAY,더블 단백질 3 (소고기  닭가슴살) KITx2,"24,000","18,000","24,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
10/5/2021,10/5/2021 23:58,배달,CHECK,1CS580,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,900","23,900","26,900",0,0,"3,585",717,"6,000","1,000","5,000","2,727","3,000","6,312","3,990",399,"4,389",0,0,0,"19,511"
10/6/2021,10/6/2021 11:00,배달,CREDIT,1U80G0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"29,900","26,900","29,900",0,0,"4,035",807,"6,000","1,000","5,000","2,727","3,000","6,762","4,080",408,"4,488",0,0,0,"22,412"
10/6/2021,10/6/2021 11:16,배달,BANK,2KPVG0,,다이어트랩,PAY,"OP VANI'BLUE (ICE) 바닐라  블루베리 프로틴, 닭가슴살 믹스 샐러드, OP VANI'BANA (ICE) 바닐라바나나 프로틴","24,000","21,000","24,000",0,0,"3,150",630,"6,000","1,000","5,000","2,727","3,000","5,877","3,903",390,"4,293",0,0,0,"16,707"
